id,artist,song,type,tie-up-contents,key0,key1,key2,key3,key4,key5,key6,key7,key8,key9
1,嵐,ふるさと,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
2,嵐,Love So Sweet,ドラマ,花より男子,ジャニーズ,みんなで歌いたい,テンションが高い曲,00’sメガヒッツ,,,,,,
3,嵐,愛を叫べ,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
4,嵐,One Love,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
5,嵐,GUTS!,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
6,嵐,ワイルド　アット　ハート,ライブ,,ジャニーズ,みんなで歌いたい,,,,,,,,
7,嵐,Face Down,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
8,嵐,迷宮ラブソング,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
9,嵐,Don’t You Get It,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
10,嵐,truth,MV,,ジャニーズ,みんなで歌いたい,,,,,,,,
11,back number,クリスマスソング,ドラマ,5→9　私が愛したお坊さん,バンド,,クリスマス,,,,,,,
12,back number,ハッピーエンド,MV,,バンド,,恋,,,,,,,
13,back number,ヒロイン,MV,,バンド,,恋,,,,,,,
14,back number,花束,ライブ,,バンド,,恋,,,,,,,
15,back number,僕の名前を,ライブ,,バンド,,恋,,,,,,,
16,back number,高嶺の花子さん,MV,,バンド,,恋,,,,,,,
17,back number,君の恋人になったら,ライブ,,バンド,,恋,,,,,,,
18,back number,青い春,ライブ,,バンド,,元気になれる歌,,,,,,,
19,back number,繋いだ手から,MV,,バンド,,恋,,,,,,,
20,back number,わたがし,ライブ,,バンド,,,,,,,,,
21,西野カナ,トリセツ,MV,,歌姫,,結婚,,,,,,,
22,西野カナ,あなたの好きなところ,MV,,歌姫,,恋,,,,,,,
23,西野カナ,Dear Bride,MV,,歌姫,,結婚,,,,,,,
24,西野カナ,会いたくて　逢いたくて,MV,,歌姫,,恋,,,,,,,
25,西野カナ,もしも運命の人がいるのなら,MV,,歌姫,,恋,,,,,,,
26,西野カナ,Best Friend,MV,,歌姫,,友情,,,,,,,
27,西野カナ,No.1,MV,,歌姫,,恋,,,,,,,
28,西野カナ,Darling,MV,,歌姫,,恋,,,,,,,
29,西野カナ,君が好き,MV,,歌姫,,恋,,,,,,,
